stim_word,thisN,thisTrialN,thisRepN,old_new,yn_keys,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,thisRow.t,notes,Welcome.started,text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,StudyTrial.started,textstudy.started,StudyTrial.stopped,Instruction.started,text_3.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TestTrial.started,texttest.started,key_resp_3.started,TestTrial.stopped,trialsTest.key_resp_3.keys,trialsTest.key_resp_3.corr,trialsTest.key_resp_3.rt,trialsTest.key_resp_3.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,0.1735551,0.1922204,0.1922204,1.393,space,1.1778564,None,,,,,,,,,,,,,,,,,,,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
moon,0,0,0,,,,,,,0,0,0,7,,,,,1.4416746,,,,,,,,,1.4078795,1.4416746,3.4081242,,,,,,,,,,,,,,,,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
mercury,1,1,0,,,,,,,0,1,1,9,,,,,3.4240421,,,,,,,,,3.4103642,3.4240421,5.4069379,,,,,,,,,,,,,,,,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
orange,2,2,0,,,,,,,0,2,2,5,,,,,5.4230527,,,,,,,,,5.4137739,5.4230527,7.4084061,,,,,,,,,,,,,,,,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
sun,3,3,0,,,,,,,0,3,3,6,,,,,7.4223507,,,,,,,,,7.4097963,7.4223507,9.4075353,,,,,,,,,,,,,,,,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
phone,4,4,0,,,,,,,0,4,4,0,,,,,9.4214819,,,,,,,,,9.4093208,9.4214819,11.4047722,,,,,,,,,,,,,,,,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
bike,5,5,0,,,,,,,0,5,5,3,,,,,11.4372074,,,,,,,,,11.4163939,11.4372074,13.4031526,,,,,,,,,,,,,,,,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
apple,6,6,0,,,,,,,0,6,6,4,,,,,13.419742,,,,,,,,,13.4047208,13.419742,15.4029946,,,,,,,,,,,,,,,,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
car ,7,7,0,,,,,,,0,7,7,2,,,,,15.4188285,,,,,,,,,15.4043512,15.4188285,17.4038412,,,,,,,,,,,,,,,,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
laptop,8,8,0,,,,,,,0,8,8,1,,,,,17.4179965,,,,,,,,,17.4071961,17.4179965,19.4228328,,,,,,,,,,,,,,,,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
earth,9,9,0,,,,,,,0,9,9,8,,,,,19.4522178,,,,,,,,,19.4294209,19.4522178,21.440083,,,,,,,,,,,,,,,,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4403272,21.4666949,21.4666949,24.7824462,space,3.30562,None,,,,,,,,,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
mercury,0,0,0,old,y,y,1,2.8164108,None,,,,,0,0,0,9,24.8316213,,,,,,,,,,,,,,,,,,,24.8110267,24.8316213,24.8316213,27.6643789,y,1,2.8164108,None,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
