stim_word,thisN,thisTrialN,thisRepN,old_new,yn_keys,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,thisRow.t,notes,Welcome.started,text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,StudyTrial.started,textstudy.started,StudyTrial.stopped,textstudy.stopped,Instruction.started,text_3.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TestTrial.started,texttest.started,key_resp_3.started,TestTrial.stopped,trialsTest.key_resp_3.keys,trialsTest.key_resp_3.corr,trialsTest.key_resp_3.rt,trialsTest.key_resp_3.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,0.1699521,0.1909592,0.1909592,0.9348231,space,0.694734,None,,,,,,,,,,,,,,,,,,,,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
apple,0,0,0,,,,,,,0,0,0,4,,,,,0.973842,,,,,,,,,0.9425521,0.973842,2.9414228,,,,,,,,,,,,,,,,,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
mercury,1,1,0,,,,,,,0,1,1,9,,,,,2.9561083,,,,,,,,,2.9435149,2.9561083,4.9394896,,,,,,,,,,,,,,,,,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
sun,2,2,0,,,,,,,0,2,2,6,,,,,4.9554694,,,,,,,,,4.9408333,4.9554694,6.9401451,,,,,,,,,,,,,,,,,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
earth,3,3,0,,,,,,,0,3,3,8,,,,,6.9545225,,,,,,,,,6.9417947,6.9545225,8.9386609,,,,,,,,,,,,,,,,,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
orange,4,4,0,,,,,,,0,4,4,5,,,,,8.9536052,,,,,,,,,8.9444092,8.9536052,10.936278,,,,,,,,,,,,,,,,,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
car ,5,5,0,,,,,,,0,5,5,2,,,,,10.9528127,,,,,,,,,10.938615,10.9528127,12.9384477,,,,,,,,,,,,,,,,,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
bike,6,6,0,,,,,,,0,6,6,3,,,,,12.9686192,,,,,,,,,12.9493894,12.9686192,14.9375505,,,,,,,,,,,,,,,,,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
moon,7,7,0,,,,,,,0,7,7,7,,,,,14.951041,,,,,,,,,14.9390795,14.951041,16.935296,,,,,,,,,,,,,,,,,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
laptop,8,8,0,,,,,,,0,8,8,1,,,,,16.9500773,,,,,,,,,16.9368563,16.9500773,18.933095,18.949376,,,,,,,,,,,,,,,,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
phone,9,9,0,,,,,,,0,9,9,0,,,,,18.949376,,,,,,,,,18.9346875,18.949376,20.9484109,,,,,,,,,,,,,,,,,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9484762,20.9650942,20.9650942,27.4290381,space,6.4576641,None,,,,,,,,,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
