stim_word,thisN,thisTrialN,thisRepN,old_new,yn_keys,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,thisRow.t,notes,Welcome.started,text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,StudyTrial.started,textstudy.started,StudyTrial.stopped,textstudy.stopped,Instruction.started,text_3.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TestTrial.started,texttest.started,key_resp_3.started,TestTrial.stopped,trialsTest.key_resp_3.keys,trialsTest.key_resp_3.corr,trialsTest.key_resp_3.rt,trialsTest.key_resp_3.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,0.1796926,0.1986264,0.1986264,1.3902354,space,1.1798733,None,,,,,,,,,,,,,,,,,,,,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
car ,0,0,0,,,,,,,0,0,0,2,,,,,1.4315268,,,,,,,,,1.3978548,1.4315268,3.400058,,,,,,,,,,,,,,,,,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
mercury,1,1,0,,,,,,,0,1,1,9,,,,,3.4139699,,,,,,,,,3.4020144,3.4139699,5.3975639,,,,,,,,,,,,,,,,,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
bike,2,2,0,,,,,,,0,2,2,3,,,,,5.4130276,,,,,,,,,5.4065954,5.4130276,7.398091,,,,,,,,,,,,,,,,,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
moon,3,3,0,,,,,,,0,3,3,7,,,,,7.4121817,,,,,,,,,7.3995254,7.4121817,9.3968677,,,,,,,,,,,,,,,,,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
orange,4,4,0,,,,,,,0,4,4,5,,,,,9.4279433,,,,,,,,,9.4068199,9.4279433,11.397011,,,,,,,,,,,,,,,,,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
sun,5,5,0,,,,,,,0,5,5,6,,,,,11.4104499,,,,,,,,,11.3993482,11.4104499,13.3950268,,,,,,,,,,,,,,,,,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
earth,6,6,0,,,,,,,0,6,6,8,,,,,13.4095343,,,,,,,,,13.3967426,13.4095343,15.3937517,,,,,,,,,,,,,,,,,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
phone,7,7,0,,,,,,,0,7,7,0,,,,,15.4086829,,,,,,,,,15.3969719,15.4086829,17.3921245,,,,,,,,,,,,,,,,,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
laptop,8,8,0,,,,,,,0,8,8,1,,,,,17.4084887,,,,,,,,,17.396071,17.4084887,19.3907282,,,,,,,,,,,,,,,,,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
apple,9,9,0,,,,,,,0,9,9,4,,,,,19.406897,,,,,,,,,19.3921966,19.406897,21.3894952,21.4058384,,,,,,,,,,,,,,,,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3895518,21.4058384,21.4058384,22.2225713,space,0.8149732,None,,,,,,,,,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
tab,0,0,0,new,n,n,1,1.4257789,None,,,,,0,0,0,10,22.2389542,,,,,,,,,,,,,,,,,,,,22.2286885,22.2389542,22.2389542,23.6718353,n,1,1.4257789,None,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
apple,1,1,0,old,y,y,1,1.2366974,None,,,,,0,1,1,4,23.6883363,,,,,,,,,,,,,,,,,,,,23.6731401,23.6883363,23.6883363,24.9379632,y,1,1.2366974,None,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
venus,2,2,0,new,n,n,1,0.890384,None,,,,,0,2,2,13,24.954405,,,,,,,,,,,,,,,,,,,,24.9403368,24.954405,24.954405,25.8542452,n,1,0.890384,None,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
sun,3,3,0,old,y,y,1,0.7779954,None,,,,,0,3,3,6,25.8707821,,,,,,,,,,,,,,,,,,,,25.8554707,25.8707821,25.8707821,26.654005,y,1,0.7779954,None,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
phone,4,4,0,old,y,y,1,0.674526,None,,,,,0,4,4,0,26.670374,,,,,,,,,,,,,,,,,,,,26.6554054,26.670374,26.670374,27.3536702,y,1,0.674526,None,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
laptop,5,5,0,old,y,y,1,0.918767,None,,,,,0,5,5,1,27.3701706,,,,,,,,,,,,,,,,,,,,27.3549971,27.3701706,27.3701706,28.303186,y,1,0.918767,None,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
star,6,6,0,new,n,n,1,0.7535236,None,,,,,0,6,6,12,28.3194856,,,,,,,,,,,,,,,,,,,,28.3044463,28.3194856,28.3194856,29.0861626,n,1,0.7535236,None,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
bike,7,7,0,old,y,y,1,1.542058,None,,,,,0,7,7,3,29.1026479,,,,,,,,,,,,,,,,,,,,29.0877308,29.1026479,29.1026479,30.6520714,y,1,1.542058,None,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
moon,8,8,0,old,y,y,1,0.8004406,None,,,,,0,8,8,7,30.6685083,,,,,,,,,,,,,,,,,,,,30.6534565,30.6685083,30.6685083,31.4851041,y,1,0.8004406,None,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
cycle,9,9,0,new,n,n,1,0.9069333,None,,,,,0,9,9,11,31.5016773,,,,,,,,,,,,,,,,,,,,31.48651,31.5016773,31.5016773,32.4179776,n,1,0.9069333,None,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
mercury,10,10,0,old,y,y,1,1.9344455,None,,,,,0,10,10,9,32.4343694,,,,,,,,,,,,,,,,,,,,32.4194387,32.4343694,32.4343694,34.3838879,y,1,1.9344455,None,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
orange,11,11,0,old,y,y,1,0.7524481,None,,,,,0,11,11,5,34.4003673,,,,,,,,,,,,,,,,,,,,34.3853588,34.4003673,34.4003673,35.1668184,y,1,0.7524481,None,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
car ,12,12,0,old,y,y,1,0.8337367,None,,,,,0,12,12,2,35.1833431,,,,,,,,,,,,,,,,,,,,35.1679734,35.1833431,35.1833431,36.0331369,y,1,0.8337367,None,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
earth,13,13,0,old,y,y,1,1.2111966,None,,,,,0,13,13,8,36.0496096,,,,,,,,,,,,,,,,,,,,36.0345339,36.0496096,36.0496096,37.2659175,y,1,1.2111966,None,P05,1,2025-11-20_02h11.29.913,Memory Experiment,,2025.1.1,60.03056757,2025-11-20 02h12.00.108598 +0530
